Account Name,Created Date,Cloud or On-Premise,Lead Source,Opportunity Owner,Stage,Close Date,Type,Amount,Company Country (CB),Company State (CB),Company Industry (CB)
K1 Company,11/11/2021,Cloud C,Partner Referral,S Seller,Closed Lost,7/24/2020,New Business,60000,United States,Vermont,Consumer Staples
A1 Company,11/11/2021,Cloud C,Web - Organic Traffic,T Seller,Requalify,9/30/2020,New Business,17000,India,कर्नाटक,Professional Services
T1 Company,11/11/2021,Cloud C,Web - Organic Traffic,T Seller,Closed Lost,12/13/2019,New Business,95000,United States,Tennessee,Retailing
E1 Company,11/11/2021,Cloud C,Partner Referral,J Seller,Requalify,3/31/2022,New Business,100000,,,
A1 Company,11/11/2021,Cloud C,Web - Organic Traffic,T Seller,Closed Lost,11/29/2019,New Business,100000,Australia,Western Australia,Utilities
P1 Company,11/11/2021,Cloud C,Web - Paid Traffic,T Seller,Closed Lost,8/31/2020,New Business,50000,United States,Ohio,Internet Software & Services
G1 Company,11/11/2021,Cloud C,,T Seller,Closed Lost,9/30/2019,New Business,100000,United States,California,Biotechnology
C1 Company,11/11/2021,Cloud C,Partner Referral,S Seller,Closed Won,2/19/2021,Renewal (Flat or Partial Churn),30000,Canada,Ontario,Professional Services
A1 Company,11/11/2021,Cloud C,Partner Referral,S Seller,Closed Won,12/12/2019,Renewal (Flat or Partial Churn),483587,United States,New York,Airlines
P1 Company,11/11/2021,Cloud C,Partner Referral,S Seller,Closed Lost,5/29/2020,New Business,100000,United States,Pennsylvania,Utilities
G1 Company,11/11/2021,Cloud C,,A Seller,Closed Lost,12/30/2020,New Business,100000,United States,,Professional Services
U1 Company,11/11/2021,Cloud C,Event,S Seller,Closed Won,4/30/2019,New Business,225625,United States,Georgia,Air Freight & Logistics
R1 Company,11/11/2021,Cloud C,Web - Organic Traffic,S Seller,Closed Lost,8/23/2019,New Business,40000,United States,Ohio,"Hotels, Restaurants & Leisure"
E1 Company,11/11/2021,Cloud C,Web - Organic Traffic,T Seller,Closed Won,7/22/2020,Renewal (Flat or Partial Churn),48000,Colombia,Bogotá,Gas Utilities
D1 Company,11/11/2021,Cloud C,Partner Referral,T Seller,Closed Won,2/23/2021,Renewal (Flat or Partial Churn),21250,United States,Arizona,Automotive
S1 Company,11/11/2021,Cloud C,,S Seller,3 - Technical Validation,12/30/2022,New Business,70000,United States,California,"Technology Hardware, Storage & Peripherals"
B1 Company,11/11/2021,Cloud C,Partner Referral,D Seller,Closed Lost,4/30/2020,New Business,90000,,,
S1 Company,11/11/2021,Cloud C,Web - Organic Traffic,S Seller,Closed Won,5/22/2019,New Business,25000,New Zealand,Auckland,Insurance
S1 Company,11/11/2021,Cloud C,,T Seller,Closed Won,12/9/2019,Renewal (Flat or Partial Churn),18000,Australia,New South Wales,"Hotels, Restaurants & Leisure"
E1 Company,11/11/2021,Cloud C,,S Seller,Closed Lost,9/30/2017,New Business,0,Singapore,,Internet Software & Services
E1 Company,12/20/2021,Cloud C,Web - Organic Traffic,L Seller,3 - Technical Validation,4/21/2022,New Business,100000,United States,Texas,Retailing
E1 Company,11/11/2021,Cloud C,Partner Referral,S Seller,Closed Lost,6/26/2020,New Business,90000,United States,Florida,Internet Software & Services
B1 Company,11/11/2021,Cloud C,Partner Referral,D Seller,Closed Won,6/24/2021,Renewal (Flat or Partial Churn),304300,United States,Texas,Air Freight & Logistics
S1 Company,11/11/2021,Cloud C,,S Seller,Closed Lost,12/31/2018,New Business,0,United States,Wisconsin,Education Services
A1 Company,11/11/2021,Cloud C,Partner Referral,S Seller,Closed Won,4/11/2019,Upsell,67000,United States,New York,Airlines
A1 Company,11/11/2021,Cloud C,,S Seller,Closed Lost,9/30/2020,New Business,100000,United States,Texas,Airlines
C1 Company,11/11/2021,Cloud C,Partner Referral,S Seller,Closed Lost,9/9/2020,New Business,60000,Canada,Québec,Aerospace & Defense
D1 Company,1/26/2022,Cloud C,,J Seller,5 - Contractual Process,12/20/2022,Renewal (Flat or Partial Churn),76500,Germany,Baden-Württemberg,Automotive
W1 Company,11/11/2021,Cloud C,,S Seller,Closed Lost,8/20/2020,New Business,90000,United States,Massachusetts,Commercial Services & Supplies
S1 Company,11/11/2021,Cloud C,Web - Organic Traffic,T Seller,Closed Won,4/21/2021,Renewal (Flat or Partial Churn),25000,New Zealand,Auckland,Insurance
H1 Company,11/11/2021,Cloud C,Web - Organic Traffic,D Seller,Closed Lost,8/27/2021,New Business,0,India,Uttar Pradesh,Professional Services
T1 Company,11/11/2021,Cloud C,SDR Prospecting,K Seller,4 - Proposal Submitted,12/20/2022,Renewal (Flat or Partial Churn),84000,Canada,British Columbia,Internet Software & Services
Q1 Company,1/26/2022,Cloud C,Web - Organic Traffic,N Seller,5 - Contractual Process,12/30/2022,Renewal (Flat or Partial Churn),145350,,,
C1 Company,1/26/2022,Cloud C,,N Seller,5 - Contractual Process,1/5/2023,Renewal (Flat or Partial Churn),157500,Canada,Ontario,Professional Services
M1 Company,11/11/2021,Cloud C,Partner Referral,S Seller,Closed Lost,10/1/2021,New Business,0,Canada,Ontario,Automotive
S1 Company,11/11/2021,Cloud C,,D Seller,Closed Lost,4/30/2020,New Business,90000,United States,South Carolina,Containers & Packaging
C1 Company,11/11/2021,Cloud C,,S Seller,Closed Won,3/19/2018,New Business,115394,Canada,Ontario,Professional Services
A1 Company,11/11/2021,Cloud C,Web - Paid Traffic,T Seller,Closed Won,9/16/2021,Renewal (Flat or Partial Churn),68000,Canada,Alberta,Gas Utilities
W1 Company,11/11/2021,Cloud C,Web - Organic Traffic,L Seller,Closed Lost,3/31/2022,New Business,100000,Netherlands,Zuid-Holland,Media
N1 Company,11/19/2021,Cloud C,Partner Referral,D Seller,Closed Won,12/30/2021,New Business,96000,United States,North Carolina,Metals & Mining
S1 Company,11/12/2021,Cloud C,Web - Organic Traffic,T Seller,Closed Lost,11/11/2021,New Business,0,,,
E1 Company,11/11/2021,Cloud C,Web - Organic Traffic,N Seller,4 - Proposal Submitted,10/11/2022,Renewal (Flat or Partial Churn),80000,United Kingdom,Greater London,Electric Utilities
N1 Company,11/11/2021,Cloud C,Web - Organic Traffic,N Seller,5 - Contractual Process,3/15/2022,New Business,282625,United Kingdom,Greater London,Utilities
E1 Company,11/11/2021,Cloud C,Web - Organic Traffic,S Seller,Closed Won,9/30/2021,New Business,0,United Kingdom,Greater London,Electric Utilities
A1 Company,11/11/2021,Cloud C,,D Seller,Closed Lost,4/1/2022,New Business,100000,United States,Texas,Airlines
S1 Company,11/11/2021,Cloud C,Web - Organic Traffic,T Seller,Requalify,12/30/2021,New Business,0,United States,Washington,Transportation
P1 Company,11/12/2021,Cloud C,,S Seller,Closed Lost,12/18/2020,New Business,90000,,,
K1 Company,11/12/2021,Cloud C,Web - Paid Traffic,S Seller,Closed Lost,6/27/2019,New Business,0,United States,Florida,Health Care Providers & Services
C1 Company,11/11/2021,Cloud C,Partner Referral,T Seller,Closed Lost,5/10/2021,New Business,0,Chile,Región Metropolitana,
F1 Company,11/11/2021,Cloud C,Web - Organic Traffic,A Seller,Closed Lost,8/6/2021,New Business,0,Singapore,,Consumer Discretionary
G1 Company,11/11/2021,Cloud C,,L Seller,4 - Proposal Submitted,7/14/2022,Renewal (Flat or Partial Churn),142500,United States,Georgia,Automotive
R1 Company,11/11/2021,Cloud C,Event,L Seller,4 - Proposal Submitted,6/25/2022,Renewal (Flat or Partial Churn),39200,United States,New York,Professional Services
S1 Company,11/11/2021,Cloud C,,T Seller,Closed Won,3/31/2021,Renewal (Flat or Partial Churn),54000,Australia,New South Wales,"Hotels, Restaurants & Leisure"
P1 Company,11/11/2021,Cloud C,Web - Organic Traffic,T Seller,Closed Won,10/7/2021,Renewal (Flat or Partial Churn),259560,United States,Washington,Health Care Providers & Services
E1 Company,11/11/2021,Cloud C,Web - Organic Traffic,T Seller,Closed Won,12/31/2021,Renewal (Flat or Partial Churn),52000,Colombia,Bogotá,Gas Utilities
F1 Company,11/11/2021,Cloud C,Web - Paid Traffic,T Seller,Requalify,3/1/2021,New Business,0,United States,Kentucky,Food Products
C1 Company,11/11/2021,Cloud C,Partner Referral,T Seller,Closed Lost,5/31/2021,New Business,0,United States,California,Internet Software & Services
S1 Company,11/11/2021,Cloud C,,E Seller,Closed Won,12/23/2021,New Business,87300,Canada,Ontario,
C1 Company,11/11/2021,Cloud C,Partner Referral,S Seller,Closed Won,12/22/2021,Upsell,157500,Canada,Ontario,Professional Services
D1 Company,11/11/2021,Cloud C,,A Seller,Requalify,10/30/2021,New Business,0,India,Delhi,Health Care Providers & Services
U1 Company,11/11/2021,Cloud C,Web - Organic Traffic,C Seller,Closed Won,9/30/2021,New Business,76800,United States,Texas,Retailing
S1 Company,11/11/2021,Cloud C,Web - Organic Traffic,A Seller,Closed Won,6/25/2021,Upsell,0,New Zealand,Auckland,Insurance
I1 Company,11/11/2021,Cloud C,Web - Organic Traffic,T Seller,Requalify,4/30/2021,New Business,0,,,
A1 Company,11/11/2021,Cloud C,,K Seller,Requalify,3/30/2022,New Business,0,United States,Colorado,Household Durables
T1 Company,11/11/2021,Cloud C,,A Seller,Closed Won,5/14/2021,Renewal (Flat or Partial Churn),48500,India,Maharashtra,Consumer Staples
S1 Company,11/11/2021,Cloud C,Web - Organic Traffic,A Seller,4 - Proposal Submitted,6/28/2022,Renewal (Flat or Partial Churn),112500,New Zealand,Auckland,Insurance
A1 Company,11/11/2021,Cloud C,Web - Organic Traffic,T Seller,Closed Lost,10/29/2020,New Business,0,United States,Pennsylvania,Education Services
S1 Company,11/11/2021,Cloud C,,S Seller,Closed Lost,6/30/2019,New Business,63750,United States,Wisconsin,Consumer Staples
C1 Company,11/11/2021,Cloud C,Partner Referral,S Seller,Closed Lost,12/27/2019,Upsell,60000,Canada,Ontario,Professional Services
S1 Company,11/11/2021,Cloud C,,S Seller,Closed Won,4/15/2019,New Business,66750,Germany,Nordrhein-Westfalen,Construction & Engineering
C1 Company,11/11/2021,Cloud C,Partner Referral,T Seller,Closed Won,11/18/2020,New Business,0,United States,Georgia,Health Care Providers & Services
B1 Company,11/11/2021,Cloud C,Web - Organic Traffic,A Seller,Requalify,11/30/2020,New Business,50000,India,Maharashtra,Diversified Financial Services
B1 Company,11/11/2021,Cloud C,Partner Referral,D Seller,Closed Won,6/30/2020,New Business,304300,United States,Texas,Air Freight & Logistics
A1 Company,11/11/2021,Cloud C,,T Seller,Requalify,12/31/2018,New Business,0,Canada,Alberta,Diversified Consumer Services
A1 Company,11/11/2021,Cloud C,Web - Organic Traffic,T Seller,Closed Won,10/2/2020,New Business,75000,Canada,Alberta,Gas Utilities
F1 Company,11/11/2021,Cloud C,,T Seller,Requalify,10/30/2020,New Business,60000,Nigeria,,Diversified Financial Services
G1 Company,11/11/2021,Cloud C,Web - Organic Traffic,S Seller,Closed Lost,9/30/2020,New Business,85000,United States,Arkansas,Consumer Staples
C1 Company,11/11/2021,Cloud C,,T Seller,Closed Lost,12/31/2018,New Business,0,United States,Indiana,Automotive
M1 Company,11/12/2021,Cloud C,,D Seller,Closed Lost,2/17/2021,New Business,85000,Denmark,,Gas Utilities
D1 Company,11/11/2021,Cloud C,Partner Referral,T Seller,Closed Lost,3/15/2019,New Business,140000,Germany,Baden-Württemberg,Automotive
U1 Company,11/11/2021,Cloud C,Web - Organic Traffic,L Seller,4 - Proposal Submitted,5/5/2022,Renewal (Flat or Partial Churn),197625,United States,Georgia,Air Freight & Logistics
B1 Company,11/11/2021,Cloud C,,S Seller,Closed Lost,9/30/2019,New Business,0,United States,New Jersey,Professional Services
S1 Company,11/11/2021,Cloud C,,T Seller,Closed Won,3/17/2020,Renewal (Flat or Partial Churn),18000,Australia,New South Wales,"Hotels, Restaurants & Leisure"
G1 Company,11/11/2021,Cloud C,Partner Referral,T Seller,Closed Won,4/24/2020,New Business,0,Norway,Buskerud,Gas Utilities
R1 Company,11/11/2021,Cloud C,,T Seller,Closed Lost,11/26/2021,New Business,100000,United States,Illinois,Food Products
S1 Company,11/11/2021,Cloud C,Web - Organic Traffic,S Seller,Requalify,10/25/2021,Upsell,0,United Kingdom,,Media
S1 Company,11/11/2021,Cloud C,Web - Organic Traffic,A Seller,4 - Proposal Submitted,5/31/2022,Renewal (Flat or Partial Churn),25000,New Zealand,Auckland,Insurance
H1 Company,11/11/2021,Cloud C,,D Seller,Closed Lost,4/30/2020,New Business,85000,United States,Florida,Consumer Discretionary
C1 Company,11/11/2021,Cloud C,Web - Organic Traffic,S Seller,Closed Lost,6/12/2020,New Business,60000,,,
G1 Company,11/11/2021,Cloud C,Event,D Seller,Closed Won,6/28/2019,New Business,148500,United States,Georgia,Automotive
P1 Company,11/11/2021,Cloud C,Web - Organic Traffic,S Seller,Closed Won,11/15/2019,New Business,266000,United States,Washington,Health Care Providers & Services
C1 Company,11/11/2021,Cloud C,Partner Referral,D Seller,Closed Won,11/30/2020,Renewal (Flat or Partial Churn),49000,United States,Florida,Transportation
E1 Company,11/11/2021,Cloud C,Web - Organic Traffic,T Seller,Closed Won,7/11/2019,New Business,48000,Colombia,Bogotá,Gas Utilities
T1 Company,11/11/2021,Cloud C,,S Seller,Closed Lost,4/19/2019,New Business,80000,United States,Nebraska,Diversified Financial Services
A1 Company,11/11/2021,Cloud C,,S Seller,Closed Lost,10/25/2019,New Business,80000,United States,Pennsylvania,Internet Software & Services
T1 Company,11/11/2021,Cloud C,Web - Organic Traffic,A Seller,Closed Lost,12/4/2020,Renewal (Flat or Partial Churn),45000,India,Maharashtra,Diversified Financial Services
D1 Company,11/11/2021,Cloud C,Partner Referral,A Seller,Closed Won,12/4/2020,Renewal (Flat or Partial Churn),76500,Germany,Baden-Württemberg,Automotive
M1 Company,11/11/2021,Cloud C,,T Seller,Requalify,9/30/2020,New Business,45000,United States,Minnesota,Internet Software & Services
A1 Company,11/11/2021,Cloud C,Web - Organic Traffic,T Seller,Closed Won,7/8/2020,Renewal (Flat or Partial Churn),54000,United States,Texas,Trading Companies & Distributors
P1 Company,11/11/2021,Cloud C,Partner Referral,S Seller,Closed Lost,12/31/2018,Upsell,0,United States,Illinois,Internet Software & Services
E1 Company,1/26/2022,Cloud C,Web - Organic Traffic,C Seller,5 - Contractual Process,12/31/2022,Renewal (Flat or Partial Churn),48000,Colombia,Bogotá,Gas Utilities
S1 Company,1/26/2022,Cloud C,,L Seller,5 - Contractual Process,12/31/2022,Renewal (Flat or Partial Churn),96000,United States,Georgia,Internet Software & Services
T1 Company,11/11/2021,Cloud C,,S Seller,Closed Lost,8/28/2020,New Business,80000,United States,Massachusetts,Retailing
E1 Company,11/11/2021,Cloud C,Partner Referral,A Seller,Closed Lost,11/27/2020,Renewal (Flat or Partial Churn),30000,United Arab Emirates,Dubai,Real Estate
V1 Company,11/11/2021,Cloud C,,S Seller,Closed Lost,6/28/2018,New Business,0,Brazil,Rio de Janeiro,Metals & Mining
U1 Company,11/11/2021,Cloud C,,D Seller,Closed Won,4/23/2020,Renewal (Flat or Partial Churn),197625,United States,Georgia,Air Freight & Logistics
#N/A,11/12/2021,Cloud C,,S Seller,Closed Lost,6/25/2021,New Business,0,,,
#N/A,11/12/2021,Cloud C,,S Seller,Closed Lost,3/27/2020,New Business,120000,,,
A1 Company,11/12/2021,Cloud C,,T Seller,Closed Lost,5/11/2021,New Business,100000,Luxembourg,District de Luxembourg,Metals & Mining
S1 Company,11/11/2021,Cloud C,,T Seller,Closed Won,9/17/2020,Renewal (Flat or Partial Churn),18000,Australia,New South Wales,"Hotels, Restaurants & Leisure"
E1 Company,11/11/2021,Cloud C,Web - Organic Traffic,C Seller,Requalify,1/31/2022,New Business,0,Brazil,State of Rio de Janeiro,Education Services
I1 Company,11/11/2021,Cloud C,,S Seller,Closed Lost,6/29/2020,New Business,80000,Spain,Canarias,Internet Software & Services
U1 Company,11/11/2021,Cloud C,Web - Organic Traffic,D Seller,Closed Won,5/4/2021,Renewal (Flat or Partial Churn),197625,United States,Georgia,Air Freight & Logistics
C1 Company,11/11/2021,Cloud C,Web - Organic Traffic,A Seller,Closed Lost,6/30/2020,New Business,45000,India,Tamil Nadu,Diversified Financial Services
i1 Company,11/11/2021,Cloud C,Partner Referral,T Seller,Requalify,9/1/2020,New Business,200000,Canada,British Columbia,Internet Software & Services
C1 Company,11/11/2021,Cloud C,Partner Referral,S Seller,Closed Lost,6/30/2020,New Business,60000,Portugal,Lisbon,Air Freight & Logistics
G1 Company,11/11/2021,Cloud C,Partner Referral,D Seller,Closed Lost,9/4/2020,Upsell,142500,United States,Georgia,Automotive
O1 Company,11/11/2021,Cloud C,,S Seller,Closed Won,9/28/2018,New Business,53500,United States,California,Internet Software & Services
E1 Company,11/11/2021,Cloud C,Partner Referral,S Seller,Closed Won,11/12/2018,New Business,30000,United Arab Emirates,Dubai,Real Estate
C1 Company,11/11/2021,Cloud C,Partner Referral,S Seller,Closed Lost,4/1/2021,Upsell,0,Canada,Ontario,Professional Services
Z1 Company,11/11/2021,Cloud C,Web - Organic Traffic,T Seller,Closed Won,4/20/2021,Renewal (Flat or Partial Churn),52500,United Kingdom,South Gloucestershire,Internet Software & Services
T1 Company,11/11/2021,Cloud C,SDR Prospecting,S Seller,Closed Won,12/20/2019,New Business,258000,Canada,British Columbia,Internet Software & Services
S1 Company,11/11/2021,Cloud C,,T Seller,Closed Lost,12/30/2021,New Business,70000,United States,California,Diversified Financial Services
A1 Company,11/11/2021,Cloud C,,T Seller,Closed Lost,9/3/2020,New Business,60000,United Arab Emirates,Dubai,Internet Software & Services
L1 Company,11/11/2021,Cloud C,,D Seller,Closed Lost,4/30/2020,New Business,90000,United States,North Carolina,Retailing
C1 Company,11/11/2021,Cloud C,Partner Referral,S Seller,Closed Lost,6/26/2020,Upsell,108000,Canada,Ontario,Professional Services
R1 Company,11/11/2021,Cloud C,,S Seller,Closed Lost,10/30/2020,New Business,110000,Canada,Ontario,Internet Software & Services
V1 Company,11/11/2021,Cloud C,,S Seller,Closed Won,11/25/2018,New Business,158500,Canada,British Columbia,
S1 Company,11/11/2021,Cloud C,,T Seller,Closed Won,6/10/2020,Renewal (Flat or Partial Churn),18000,Australia,New South Wales,"Hotels, Restaurants & Leisure"
O1 Company,11/11/2021,Cloud C,Partner Referral,S Seller,Closed Won,6/15/2020,New Business,12000,Austria,,Transportation
C1 Company,11/11/2021,Cloud C,Partner Referral,S Seller,Closed Lost,11/30/2018,New Business,0,United States,California,Diversified Financial Services
M1 Company,11/11/2021,Cloud C,Partner Referral,S Seller,Closed Lost,12/31/2018,New Business,0,United Kingdom,Greater London,Retailing
G1 Company,11/11/2021,Cloud C,Partner Referral,S Seller,Closed Lost,9/24/2020,New Business,50000,United States,Massachusetts,Electrical Equipment
G1 Company,1/26/2022,Cloud C,,N Seller,5 - Contractual Process,12/29/2022,Renewal (Flat or Partial Churn),270000,United States,Connecticut,Professional Services
E1 Company,1/26/2022,Cloud C,,E Seller,5 - Contractual Process,12/31/2022,Renewal (Flat or Partial Churn),204568,United States,Texas,Retailing
B1 Company,11/11/2021,Cloud C,,S Seller,Closed Lost,9/6/2019,Upsell,100000,United Kingdom,Greater London,Gas Utilities
G1 Company,11/11/2021,Cloud C,,S Seller,Closed Lost,9/28/2018,New Business,95000,,,
R1 Company,11/11/2021,Cloud C,,S Seller,Closed Won,5/13/2020,Renewal (Flat or Partial Churn),39200,United States,New York,Professional Services
A1 Company,11/12/2021,Cloud C,Partner Referral,S Seller,Closed Won,2/11/2019,Upsell,18000,United States,New York,Airlines
A1 Company,11/12/2021,Cloud C,Partner Referral,S Seller,Closed Won,12/13/2018,Upsell,44800,United States,New York,Airlines
H1 Company,11/12/2021,Cloud C,,T Seller,Closed Lost,3/31/2021,New Business,75000,United States,Illinois,Professional Services
F1 Company,11/11/2021,Cloud C,Web - Organic Traffic,D Seller,Closed Lost,4/30/2020,New Business,85000,Canada,Saskatchewan,Distributors
T1 Company,11/11/2021,Cloud C,Web - Organic Traffic,M Seller,2 - Value Qualification,9/30/2022,New Business,75000,United States,Nebraska,Electric Utilities
G1 Company,11/11/2021,Cloud C,Partner Referral,D Seller,Closed Lost,9/30/2020,Upsell,200000,United States,Georgia,Automotive
P1 Company,11/11/2021,Cloud C,,S Seller,Closed Lost,11/20/2020,New Business,60000,Bermuda,Pembroke Parish,Professional Services
G1 Company,11/11/2021,Cloud C,Web - Organic Traffic,S Seller,Closed Lost,2/28/2019,New Business,0,New Zealand,Auckland,Electric Utilities
P1 Company,11/11/2021,Cloud C,,S Seller,Closed Lost,4/7/2020,Upsell,150000,United States,Washington,Health Care Providers & Services
R1 Company,11/11/2021,Cloud C,,S Seller,Closed Lost,12/13/2019,New Business,90000,Canada,Ontario,Diversified Financial Services
T1 Company,11/11/2021,Cloud C,,A Seller,Closed Won,12/4/2020,Renewal (Flat or Partial Churn),48500,India,Maharashtra,Consumer Staples
I1 Company,11/11/2021,Cloud C,Partner Referral,S Seller,Closed Lost,4/30/2019,New Business,48000,Italy,Lombardia,Banks
R1 Company,11/11/2021,Cloud C,,S Seller,Closed Lost,8/27/2021,New Business,0,Canada,Ontario,Diversified Financial Services
D1 Company,11/11/2021,Cloud C,Partner Referral,S Seller,Closed Won,7/31/2020,New Business,32000,Germany,Nordrhein-Westfalen,Air Freight & Logistics
#N/A,11/11/2021,Cloud C,Web - Organic Traffic,S Seller,Closed Lost,6/14/2019,New Business,0,,,
Q1 Company,11/11/2021,Cloud C,Web - Organic Traffic,S Seller,Closed Lost,1/6/2019,New Business,100000,United States,Texas,Internet Software & Services
D1 Company,11/11/2021,Cloud C,Partner Referral,S Seller,Closed Won,1/1/2020,New Business,172360,United States,Arizona,Automotive
G1 Company,11/11/2021,Cloud C,Web - Organic Traffic,T Seller,Closed Lost,8/28/2020,New Business,60000,United States,New Jersey,Professional Services
E1 Company,11/11/2021,Cloud C,Partner Referral,A Seller,Closed Lost,6/30/2020,Upsell,40000,United Arab Emirates,Dubai,Real Estate
N1 Company,11/11/2021,Cloud C,Partner Referral,D Seller,Closed Lost,3/31/2020,New Business,125000,United States,Georgia,Internet Software & Services
A1 Company,11/11/2021,Cloud C,Web - Organic Traffic,T Seller,Closed Won,8/7/2019,New Business,46800,United States,Texas,Trading Companies & Distributors
P1 Company,11/11/2021,Cloud C,Partner Referral,T Seller,Closed Lost,3/27/2020,New Business,75000,United States,Illinois,Internet Software & Services
A1 Company,11/12/2021,Cloud C,Partner Referral,S Seller,Closed Lost,12/12/2019,Renewal (Flat or Partial Churn),179100,United States,New York,Airlines
A1 Company,11/12/2021,Cloud C,,S Seller,Closed Lost,12/11/2020,New Business,50000,United States,Pennsylvania,Chemicals
A1 Company,11/12/2021,Cloud C,Partner Referral,S Seller,Closed Won,12/13/2018,New Business,159500,United States,New York,Airlines
P1 Company,11/11/2021,Cloud C,Web - Organic Traffic,T Seller,Closed Lost,12/31/2019,New Business,45000,United States,Michigan,Professional Services
R1 Company,11/11/2021,Cloud C,,A Seller,Closed Lost,3/5/2021,Renewal (Flat or Partial Churn),50000,India,Maharashtra,Banks
S1 Company,11/11/2021,Cloud C,,S Seller,Closed Lost,1/4/2021,New Business,0,United States,Massachusetts,Diversified Financial Services
R1 Company,11/11/2021,Cloud C,,N Seller,Closed Won,6/25/2021,Renewal (Flat or Partial Churn),0,United States,New York,Professional Services
N1 Company,12/31/2021,Cloud C,Partner Referral,L Seller,5 - Contractual Process,12/29/2022,Renewal (Flat or Partial Churn),108000,United States,North Carolina,Metals & Mining
C1 Company,3/3/2022,Cloud C,,N Seller,5 - Contractual Process,2/28/2023,Renewal (Flat or Partial Churn),145394,Canada,Ontario,Professional Services
A1 Company,11/11/2021,Cloud D,Event,M Seller,Closed Lost,6/29/2022,New Business,125000,United States,Illinois,Retailing
B1 Company,11/11/2021,Cloud D,,S Seller,Closed Lost,12/10/2018,New Business,0,,,
B1 Company,11/11/2021,Cloud D,,T Seller,Closed Lost,12/21/2021,Renewal (Flat or Partial Churn),0,Russia,,Professional Services
D1 Company,11/11/2021,Cloud D,Web - Organic Traffic,T Seller,Requalify,9/30/2022,New Business,0,United States,Michigan,Insurance
D1 Company,11/11/2021,Cloud D,,T Seller,4 - Proposal Submitted,4/23/2022,Renewal (Flat or Partial Churn),72000,United States,Georgia,Aerospace & Defense
D1 Company,11/11/2021,Cloud D,Web - Organic Traffic,T Seller,Closed Lost,12/1/2020,New Business,0,United States,California,Automotive
D1 Company,11/11/2021,Cloud D,,D Seller,Closed Won,3/22/2021,Renewal (Flat or Partial Churn),102000,United States,Florida,
D1 Company,11/11/2021,Cloud D,Web - Organic Traffic,F Seller,Closed Lost,1/7/2021,Partnership,0,United States,Rhode Island,
D1 Company,11/11/2021,Cloud D,Partner Referral,D Seller,Closed Lost,6/8/2021,New Business,0,France,Provence-Alpes-Côte d'Azur,Media
D1 Company,11/11/2021,Cloud D,Event,D Seller,Requalify,1/31/2022,New Business,0,Spain,Illes Balears,"Hotels, Restaurants & Leisure"
D1 Company,11/11/2021,Cloud D,Web - Organic Traffic,S Seller,Closed Won,11/29/2018,New Business,50450,United States,Massachusetts,Consumer Goods
H1 Company,11/11/2021,Cloud D,Partner Referral,S Seller,Closed Lost,11/15/2018,Upsell,180000,United States,Texas,Internet Software & Services
F1 Company,11/12/2021,Cloud D,Web - Organic Traffic,T Seller,Closed Lost,9/23/2021,New Business,0,United States,Florida,Internet Software & Services
l1 Company,11/11/2021,Cloud D,Web - Organic Traffic,T Seller,Requalify,11/11/2021,New Business,0,Brazil,São Paulo,Retailing
C1 Company,11/11/2021,Cloud D,Partner Referral,T Seller,3 - Technical Validation,3/31/2022,New Business,100000,United States,Florida,"Hotels, Restaurants & Leisure"
T1 Company,11/12/2021,Cloud D,Web - Organic Traffic,D Seller,Closed Lost,2/12/2021,New Business,120000,United States,Tennessee,Retailing
Q1 Company,11/11/2021,Cloud D,Web - Paid Traffic,T Seller,Closed Lost,9/17/2021,Renewal (Flat or Partial Churn),0,United States,Tennessee,Internet Software & Services
A1 Company,11/11/2021,Cloud D,Web - Organic Traffic,D Seller,Closed Won,9/22/2021,New Business,166600,United States,Georgia,Electrical Equipment
E1 Company,11/11/2021,Cloud D,,D Seller,Closed Won,12/31/2020,Upsell,36000,United States,Texas,Retailing
A1 Company,12/17/2021,Cloud D,Web - Organic Traffic,M Seller,2 - Value Qualification,6/30/2022,New Business,80000,United States,Illinois,Professional Services
A1 Company,1/25/2022,Cloud D,Web - Organic Traffic,A Seller,5 - Contractual Process,12/16/2022,Renewal (Flat or Partial Churn),75000,India,Haryana,Diversified Telecommunication Services
U1 Company,1/25/2022,Cloud D,,L Seller,5 - Contractual Process,1/6/2023,Renewal (Flat or Partial Churn),146250,United States,Georgia,Air Freight & Logistics
S1 Company,1/25/2022,Cloud D,,N Seller,5 - Contractual Process,6/30/2022,Renewal (Flat or Partial Churn),123226,Germany,Bayern,Media
#N/A,11/12/2021,Cloud D,,A Seller,Closed Lost,6/29/2020,New Business,45000,,,
F1 Company,1/26/2022,Cloud D,Web - Organic Traffic,T Seller,5 - Contractual Process,12/22/2022,Renewal (Flat or Partial Churn),88875,United States,Florida,
A1 Company,11/11/2021,Cloud D,Web - Organic Traffic,S Seller,4 - Proposal Submitted,4/23/2022,Renewal (Flat or Partial Churn),112500,United States,Arizona,Air Freight & Logistics
E1 Company,11/11/2021,Cloud D,Web - Organic Traffic,T Seller,Requalify,5/31/2022,New Business,85000,,,
I1 Company,1/26/2022,Cloud D,,T Seller,5 - Contractual Process,10/31/2022,Renewal (Flat or Partial Churn),76500,United States,New York,Professional Services
A1 Company,1/26/2022,Cloud D,,C Seller,5 - Contractual Process,1/31/2023,Renewal (Flat or Partial Churn),899400,United States,Idaho,Retailing
